incident,priority
Armed robbery near city bank,High
Fire accident reported in residential building,High
Explosion in chemical factory,High
Suspicious package found at airport,High
Hostage situation in downtown mall,High
Major car accident with injuries on highway,High
Active shooter reported in school,High
Gas leak detected in metro station,High
Terrorist threat received at government office,High
Flooding reported in subway tunnels,High
Arson suspected in warehouse fire,High
Bomb threat at railway station,High
Armed assault in shopping complex,High
Bridge collapse on national highway,High
Earthquake tremors felt in city,High
Severe building collapse in industrial area,High
Gunfire reported outside embassy,High
Dangerous chemical spill on highway,High
Train derailment with casualties,High
Helicopter crash in residential zone,High
Massive fire broke out in city hospital,High
Building on fire with people trapped inside,High
Explosion reported in crowded marketplace,High
Multiple car crash with casualties on expressway,High
Firefighters called to control warehouse blaze,High
Armed men spotted outside government building,High
Child kidnapped from shopping center,High
Crowd stampede during festival event,High
Severe landslide blocking mountain road,High
Hospital ward evacuated due to gas leak,High
Bridge collapsed causing vehicles to fall,High
Arson attack reported in residential flats,High
Armed robbery inside jewelry store,High
Train collision near railway junction,High
Chemical fumes leaking in school laboratory,High
Bus overturned with passengers injured,High
Earthquake caused multiple building damages,High
Fire alarm triggered in crowded cinema hall,High
Explosion suspected in oil refinery,High
Flood water entered houses in low-lying areas,High
Traffic congestion in market area,Low
Noise complaint from neighborhood,Low
Streetlight not working in colony,Low
Lost pet reported near park,Low
Garbage collection delayed in locality,Low
Illegal parking in front of hospital,Low
Minor water leakage in public washroom,Low
Stray dogs creating nuisance,Low
"Small fender bender, no injuries",Low
Public park fountain not working,Low
Broken bench in city park,Low
Graffiti spotted on public wall,Low
Street vendor blocking sidewalk,Low
Water supply disruption for few hours,Low
Overcrowding in city bus stop,Low
Elevator stuck but no injuries,Low
Potholes reported on main road,Low
Tree branches blocking footpath,Low
Electric pole tilting but intact,Low
Unauthorized loudspeaker in event,Low
Dustbin not cleared in apartment complex,Low
Public restroom out of order,Low
Street flooded due to clogged drain,Low
Dog barking disturbing neighbors,Low
Minor electricity fluctuation reported,Low
Broken traffic signal light,Low
Overgrown bushes blocking footpath,Low
Shop playing loud music late night,Low
Slow moving traffic on bridge,Low
Complaint of mosquitoes in colony,Low
